pokedex,branch_code,original_name,name,type_1,type_2,ability_1,ability_2,ability_hidden,mega_evolution_flag,region_form,hp,attack,defense,sp_attack,sp_defense,speed,total
211,211_0,qwilfish,qwilfish,water,poison,poison point,swift swim,intimidate,,,65,95,85,55,55,85,440
211,211_1,qwilfish,hisuian qwilfish,dark,poison,poison point,swift swim,intimidate,,hisuian,65,95,85,55,55,85,440
212,212_0,scizor,scizor,bug,steel,swarm,technician,light metal,,,70,130,100,55,80,65,500
212,212_1,scizor,scizor-mega,bug,steel,technician,,,mega,,70,150,140,65,100,75,600
213,213_0,shuckle,shuckle,bug,rock,sturdy,gluttony,contrary,,,20,10,230,10,230,5,505
214,214_0,heracross,heracross,bug,fighting,swarm,guts,moxie,,,80,125,75,40,95,85,500
214,214_1,heracross,heracross-mega,bug,fighting,skill link,,,mega,,80,185,115,40,105,75,600
215,215_0,sneasel,sneasel,dark,ice,inner focus,keen eye,pickpocket,,,55,95,55,35,75,115,430
215,215_1,sneasel,hisuian sneasel,fighting,poison,inner focus,keen eye,pickpocket,,hisuian,55,95,55,35,75,115,430
216,216_0,teddiursa,teddiursa,normal,,pickup,quick feet,honey gather,,,60,80,50,50,50,40,330
217,217_0,ursaring,ursaring,normal,,guts,quick feet,unnerve,,,90,130,75,75,75,55,500
218,218_0,slugma,slugma,fire,,magma armor,flame body,weak armor,,,40,40,40,70,40,20,250
219,219_0,magcargo,magcargo,fire,rock,magma armor,flame body,weak armor,,,60,50,120,90,80,30,430
220,220_0,swinub,swinub,ice,ground,oblivious,snow cloak,thick fat,,,50,50,40,30,30,50,250
221,221_0,piloswine,piloswine,ice,ground,oblivious,snow cloak,thick fat,,,100,100,80,60,60,50,450
222,222_0,corsola,corsola,water,rock,hustle,natural cure,regenerator,,,65,55,95,65,95,35,410
222,222_1,corsola,galarian corsola,ghost,,weak armor,,cursed body,,galarian,60,55,100,65,100,30,410
223,223_0,remoraid,remoraid,water,,hustle,sniper,moody,,,35,65,35,65,35,65,300
224,224_0,octillery,octillery,water,,suction cups,sniper,moody,,,75,105,75,105,75,45,480
225,225_0,delibird,delibird,ice,flying,vital spirit,hustle,insomnia,,,45,55,45,65,45,75,330
226,226_0,mantine,mantine,water,flying,swift swim,water absorb,water veil,,,85,40,70,80,140,70,485
227,227_0,skarmory,skarmory,steel,flying,keen eye,sturdy,weak armor,,,65,80,140,40,70,70,465
228,228_0,houndour,houndour,dark,fire,early bird,flash fire,unnerve,,,45,60,30,80,50,65,330
229,229_0,houndoom,houndoom,dark,fire,early bird,flash fire,unnerve,,,75,90,50,110,80,95,500
229,229_1,houndoom,houndoom-mega,dark,fire,solar power,,,mega,,75,90,90,140,90,115,600
230,230_0,kingdra,kingdra,water,dragon,swift swim,sniper,damp,,,75,95,95,95,95,85,540
231,231_0,phanpy,phanpy,ground,,pickup,,sand veil,,,90,60,60,40,40,40,330
232,232_0,donphan,donphan,ground,,sturdy,,sand veil,,,90,120,120,60,60,50,500
233,233_0,porygon2,porygon2,normal,,trace,download,analytic,,,85,80,90,105,95,60,515
234,234_0,stantler,stantler,normal,,intimidate,frisk,sap sipper,,,73,95,62,85,65,85,465
235,235_0,smeargle,smeargle,normal,,own tempo,technician,moody,,,55,20,35,20,45,75,250
236,236_0,tyrogue,tyrogue,fighting,,guts,steadfast,vital spirit,,,35,35,35,35,35,35,210
237,237_0,hitmontop,hitmontop,fighting,,intimidate,technician,steadfast,,,50,95,95,35,110,70,455
238,238_0,smoochum,smoochum,ice,psychic,oblivious,forewarn,hydration,,,45,30,15,85,65,65,305
239,239_0,elekid,elekid,electric,,static,,vital spirit,,,45,63,37,65,55,95,360
240,240_0,magby,magby,fire,,flame body,,vital spirit,,,45,75,37,70,55,83,365
241,241_0,miltank,miltank,normal,,thick fat,scrappy,sap sipper,,,95,80,105,40,70,100,490
242,242_0,blissey,blissey,normal,,natural cure,serene grace,healer,,,255,10,10,75,135,55,540
243,243_0,raikou,raikou,electric,,pressure,,inner focus,,,90,85,75,115,100,115,580
244,244_0,entei,entei,fire,,pressure,,inner focus,,,115,115,85,90,75,100,580
245,245_0,suicune,suicune,water,,pressure,,inner focus,,,100,75,115,90,115,85,580
246,246_0,larvitar,larvitar,rock,ground,guts,,sand veil,,,50,64,50,45,50,41,300
247,247_0,pupitar,pupitar,rock,ground,shed skin,,,,,70,84,70,65,70,51,410
248,248_0,tyranitar,tyranitar,rock,dark,sand stream,,unnerve,,,100,134,110,95,100,61,600
248,248_1,tyranitar,tyranitar-mega,rock,dark,sand stream,,,mega,,100,164,150,95,120,71,700
249,249_0,lugia,lugia,psychic,flying,pressure,,multiscale,,,106,90,130,90,154,110,680
250,250_0,ho-oh,ho-oh,fire,flying,pressure,,regenerator,,,106,130,90,110,154,90,680
251,251_0,celebi,celebi,psychic,grass,natural cure,,,,,100,100,100,100,100,100,600
252,252_0,treecko,treecko,grass,,overgrow,,unburden,,,40,45,35,65,55,70,310
253,253_0,grovyle,grovyle,grass,,overgrow,,unburden,,,50,65,45,85,65,95,405
254,254_0,sceptile,sceptile,grass,,overgrow,,unburden,,,70,85,65,105,85,120,530
254,254_1,sceptile,sceptile-mega,grass,dragon,lightning rod,,,mega,,70,110,75,145,85,145,630
255,255_0,torchic,torchic,fire,,blaze,,speed boost,,,45,60,40,70,50,45,310
256,256_0,combusken,combusken,fire,fighting,blaze,,speed boost,,,60,85,60,85,60,55,405
257,257_0,blaziken,blaziken,fire,fighting,blaze,,speed boost,,,80,120,70,110,70,80,530
257,257_1,blaziken,blaziken-mega,fire,fighting,speed boost,,,mega,,80,160,80,130,80,100,630
258,258_0,mudkip,mudkip,water,,torrent,,damp,,,50,70,50,50,50,40,310
259,259_0,marshtomp,marshtomp,water,ground,torrent,,damp,,,70,85,70,60,70,50,405
260,260_0,swampert,swampert,water,ground,torrent,,damp,,,100,110,90,85,90,60,535
260,260_1,swampert,swampert-mega,water,ground,swift swim,,,mega,,100,150,110,95,110,70,635
261,261_0,poochyena,poochyena,dark,,run away,quick feet,rattled,,,35,55,35,30,30,35,220
262,262_0,mightyena,mightyena,dark,,intimidate,quick feet,moxie,,,70,90,70,60,60,70,420
263,263_0,zigzagoon,zigzagoon,normal,,pickup,gluttony,quick feet,,,38,30,41,30,41,60,240
263,263_1,zigzagoon,galarian zigzagoon,dark,normal,pickup,gluttony,quick feet,,galarian,38,30,41,30,41,60,240
264,264_0,linoone,linoone,normal,,pickup,gluttony,quick feet,,,78,70,61,50,61,100,420
264,264_1,linoone,galarian linoone,dark,normal,pickup,gluttony,quick feet,,galarian,78,70,61,50,61,100,420
265,265_0,wurmple,wurmple,bug,,shield dust,,run away,,,45,45,35,20,30,20,195
266,266_0,silcoon,silcoon,bug,,shed skin,,,,,50,35,55,25,25,15,205
267,267_0,beautifly,beautifly,bug,flying,swarm,,rivalry,,,60,70,50,100,50,65,395
268,268_0,cascoon,cascoon,bug,,shed skin,,,,,50,35,55,25,25,15,205
269,269_0,dustox,dustox,bug,poison,shield dust,,compound eyes,,,60,50,70,50,90,65,385
270,270_0,lotad,lotad,water,grass,swift swim,rain dish,own tempo,,,40,30,30,40,50,30,220
271,271_0,lombre,lombre,water,grass,swift swim,rain dish,own tempo,,,60,50,50,60,70,50,340
272,272_0,ludicolo,ludicolo,water,grass,swift swim,rain dish,own tempo,,,80,70,70,90,100,70,480
273,273_0,seedot,seedot,grass,,chlorophyll,early bird,pickpocket,,,40,40,50,30,30,30,220
274,274_0,nuzleaf,nuzleaf,grass,dark,chlorophyll,early bird,pickpocket,,,70,70,40,60,40,60,340
275,275_0,shiftry,shiftry,grass,dark,chlorophyll,early bird,pickpocket,,,90,100,60,90,60,80,480
276,276_0,taillow,taillow,normal,flying,guts,,scrappy,,,40,55,30,30,30,85,270
277,277_0,swellow,swellow,normal,flying,guts,,scrappy,,,60,85,60,75,50,125,455
278,278_0,wingull,wingull,water,flying,keen eye,hydration,rain dish,,,40,30,30,55,30,85,270
279,279_0,pelipper,pelipper,water,flying,keen eye,drizzle,rain dish,,,60,50,100,95,70,65,440
280,280_0,ralts,ralts,psychic,fairy,synchronize,trace,telepathy,,,28,25,25,45,35,40,198
281,281_0,kirlia,kirlia,psychic,fairy,synchronize,trace,telepathy,,,38,35,35,65,55,50,278
282,282_0,gardevoir,gardevoir,psychic,fairy,synchronize,trace,telepathy,,,68,65,65,125,115,80,518
282,282_1,gardevoir,gardevoir-mega,psychic,fairy,pixilate,,,mega,,68,85,65,165,135,100,618
283,283_0,surskit,surskit,bug,water,swift swim,,rain dish,,,40,30,32,50,52,65,269
284,284_0,masquerain,masquerain,bug,flying,intimidate,,unnerve,,,70,60,62,100,82,80,454
285,285_0,shroomish,shroomish,grass,,effect spore,poison heal,quick feet,,,60,40,60,40,60,35,295
286,286_0,breloom,breloom,grass,fighting,effect spore,poison heal,technician,,,60,130,80,60,60,70,460
287,287_0,slakoth,slakoth,normal,,truant,,,,,60,60,60,35,35,30,280
288,288_0,vigoroth,vigoroth,normal,,vital spirit,,,,,80,80,80,55,55,90,440
289,289_0,slaking,slaking,normal,,truant,,,,,150,160,100,95,65,100,670
290,290_0,nincada,nincada,bug,ground,compound eyes,,run away,,,31,45,90,30,30,40,266
291,291_0,ninjask,ninjask,bug,flying,speed boost,,infiltrator,,,61,90,45,50,50,160,456
292,292_0,shedinja,shedinja,bug,ghost,wonder guard,,,,,1,90,45,30,30,40,236
293,293_0,whismur,whismur,normal,,soundproof,,rattled,,,64,51,23,51,23,28,240
294,294_0,loudred,loudred,normal,,soundproof,,scrappy,,,84,71,43,71,43,48,360
295,295_0,exploud,exploud,normal,,soundproof,,scrappy,,,104,91,63,91,73,68,490
296,296_0,makuhita,makuhita,fighting,,thick fat,guts,sheer force,,,72,60,30,20,30,25,237
297,297_0,hariyama,hariyama,fighting,,thick fat,guts,sheer force,,,144,120,60,40,60,50,474
298,298_0,azurill,azurill,normal,fairy,thick fat,huge power,sap sipper,,,50,20,40,20,40,20,190
299,299_0,nosepass,nosepass,rock,,sturdy,magnet pull,sand force,,,30,45,135,45,90,30,375
300,300_0,skitty,skitty,normal,,cute charm,normalize,wonder skin,,,50,45,45,35,35,50,260
301,301_0,delcatty,delcatty,normal,,cute charm,normalize,wonder skin,,,70,65,65,55,55,90,400
302,302_0,sableye,sableye,dark,ghost,keen eye,stall,prankster,,,50,75,75,65,65,50,380
302,302_1,sableye,sableye-mega,dark,ghost,magic bounce,,,mega,,50,85,125,85,115,20,480
303,303_0,mawile,mawile,steel,fairy,hyper cutter,intimidate,sheer force,,,50,85,85,55,55,50,380
303,303_1,mawile,mawile-mega,steel,fairy,huge power,,,mega,,50,105,125,55,95,50,480
304,304_0,aron,aron,steel,rock,sturdy,rock head,heavy metal,,,50,70,100,40,40,30,330
305,305_0,lairon,lairon,steel,rock,sturdy,rock head,heavy metal,,,60,90,140,50,50,40,430
306,306_0,aggron,aggron,steel,rock,sturdy,rock head,heavy metal,,,70,110,180,60,60,50,530
306,306_1,aggron,aggron-mega,steel,,filter,,,mega,,70,140,230,60,80,50,630
307,307_0,meditite,meditite,fighting,psychic,pure power,,telepathy,,,30,40,55,40,55,60,280
308,308_0,medicham,medicham,fighting,psychic,pure power,,telepathy,,,60,60,75,60,75,80,410
308,308_1,medicham,medicham-mega,fighting,psychic,pure power,,,mega,,60,100,85,80,85,100,510
309,309_0,electrike,electrike,electric,,static,lightning rod,minus,,,40,45,40,65,40,65,295
310,310_0,manectric,manectric,electric,,static,lightning rod,minus,,,70,75,60,105,60,105,475
310,310_1,manectric,manectric-mega,electric,,intimidate,,,mega,,70,75,80,135,80,135,575
311,311_0,plusle,plusle,electric,,plus,,lightning rod,,,60,50,40,85,75,95,405
312,312_0,minun,minun,electric,,minus,,volt absorb,,,60,40,50,75,85,95,405
313,313_0,volbeat,volbeat,bug,,illuminate,swarm,prankster,,,65,73,75,47,85,85,430
314,314_0,illumise,illumise,bug,,oblivious,tinted lens,prankster,,,65,47,75,73,85,85,430
315,315_0,roselia,roselia,grass,poison,natural cure,poison point,leaf guard,,,50,60,45,100,80,65,400
316,316_0,gulpin,gulpin,poison,,liquid ooze,sticky hold,gluttony,,,70,43,53,43,53,40,302
317,317_0,swalot,swalot,poison,,liquid ooze,sticky hold,gluttony,,,100,73,83,73,83,55,467
318,318_0,carvanha,carvanha,water,dark,rough skin,,speed boost,,,45,90,20,65,20,65,305
319,319_0,sharpedo,sharpedo,water,dark,rough skin,,speed boost,,,70,120,40,95,40,95,460
319,319_1,sharpedo,sharpedo-mega,water,dark,strong jaw,,,mega,,70,140,70,110,65,105,560
320,320_0,wailmer,wailmer,water,,water veil,oblivious,pressure,,,130,70,35,70,35,60,400
321,321_0,wailord,wailord,water,,water veil,oblivious,pressure,,,170,90,45,90,45,60,500
322,322_0,numel,numel,fire,ground,oblivious,simple,own tempo,,,60,60,40,65,45,35,305
323,323_0,camerupt,camerupt,fire,ground,magma armor,solid rock,anger point,,,70,100,70,105,75,40,460
323,323_1,camerupt,camerupt-mega,fire,ground,sheer force,,,mega,,70,120,100,145,105,20,560
324,324_0,torkoal,torkoal,fire,,white smoke,drought,shell armor,,,70,85,140,85,70,20,470
325,325_0,spoink,spoink,psychic,,thick fat,own tempo,gluttony,,,60,25,35,70,80,60,330
326,326_0,grumpig,grumpig,psychic,,thick fat,own tempo,gluttony,,,80,45,65,90,110,80,470
327,327_0,spinda,spinda,normal,,own tempo,tangled feet,contrary,,,60,60,60,60,60,60,360
328,328_0,trapinch,trapinch,ground,,hyper cutter,arena trap,sheer force,,,45,100,45,45,45,10,290
329,329_0,vibrava,vibrava,ground,dragon,levitate,,,,,50,70,50,50,50,70,340
330,330_0,flygon,flygon,ground,dragon,levitate,,,,,80,100,80,80,80,100,520
331,331_0,cacnea,cacnea,grass,,sand veil,,water absorb,,,50,85,40,85,40,35,335
332,332_0,cacturne,cacturne,grass,dark,sand veil,,water absorb,,,70,115,60,115,60,55,475
333,333_0,swablu,swablu,normal,flying,natural cure,,cloud nine,,,45,40,60,40,75,50,310
334,334_0,altaria,altaria,dragon,flying,natural cure,,cloud nine,,,75,70,90,70,105,80,490
334,334_1,altaria,altaria-mega,dragon,fairy,pixilate,,,mega,,75,110,110,110,105,80,590
335,335_0,zangoose,zangoose,normal,,immunity,,toxic boost,,,73,115,60,60,60,90,458
336,336_0,seviper,seviper,poison,,shed skin,,infiltrator,,,73,100,60,100,60,65,458
337,337_0,lunatone,lunatone,rock,psychic,levitate,,,,,90,55,65,95,85,70,460
338,338_0,solrock,solrock,rock,psychic,levitate,,,,,90,95,85,55,65,70,460
339,339_0,barboach,barboach,water,ground,oblivious,anticipation,hydration,,,50,48,43,46,41,60,288
340,340_0,whiscash,whiscash,water,ground,oblivious,anticipation,hydration,,,110,78,73,76,71,60,468
341,341_0,corphish,corphish,water,,hyper cutter,shell armor,adaptability,,,43,80,65,50,35,35,308
342,342_0,crawdaunt,crawdaunt,water,dark,hyper cutter,shell armor,adaptability,,,63,120,85,90,55,55,468
343,343_0,baltoy,baltoy,ground,psychic,levitate,,,,,40,40,55,40,70,55,300
344,344_0,claydol,claydol,ground,psychic,levitate,,,,,60,70,105,70,120,75,500
345,345_0,lileep,lileep,rock,grass,suction cups,,storm drain,,,66,41,77,61,87,23,355
346,346_0,cradily,cradily,rock,grass,suction cups,,storm drain,,,86,81,97,81,107,43,495
347,347_0,anorith,anorith,rock,bug,battle armor,,swift swim,,,45,95,50,40,50,75,355
348,348_0,armaldo,armaldo,rock,bug,battle armor,,swift swim,,,75,125,100,70,80,45,495
349,349_0,feebas,feebas,water,,swift swim,oblivious,adaptability,,,20,15,20,10,55,80,200
350,350_0,milotic,milotic,water,,marvel scale,competitive,cute charm,,,95,60,79,100,125,81,540
351,351_0,castform,castform,normal,,forecast,,,,,70,70,70,70,70,70,420
352,352_0,kecleon,kecleon,normal,,color change,,protean,,,60,90,70,60,120,40,440
353,353_0,shuppet,shuppet,ghost,,insomnia,frisk,cursed body,,,44,75,35,63,33,45,295
354,354_0,banette,banette,ghost,,insomnia,frisk,cursed body,,,64,115,65,83,63,65,455
354,354_1,banette,banette-mega,ghost,,prankster,,,mega,,64,165,75,93,83,75,555
355,355_0,duskull,duskull,ghost,,levitate,,frisk,,,20,40,90,30,90,25,295
356,356_0,dusclops,dusclops,ghost,,pressure,,frisk,,,40,70,130,60,130,25,455
357,357_0,tropius,tropius,grass,flying,chlorophyll,solar power,harvest,,,99,68,83,72,87,51,460
358,358_0,chimecho,chimecho,psychic,,levitate,,,,,75,50,80,95,90,65,455
359,359_0,absol,absol,dark,,pressure,super luck,justified,,,65,130,60,75,60,75,465
359,359_1,absol,absol-mega,dark,,magic bounce,,,mega,,65,150,60,115,60,115,565
360,360_0,wynaut,wynaut,psychic,,shadow tag,,telepathy,,,95,23,48,23,48,23,260
361,361_0,snorunt,snorunt,ice,,inner focus,ice body,moody,,,50,50,50,50,50,50,300
362,362_0,glalie,glalie,ice,,inner focus,ice body,moody,,,80,80,80,80,80,80,480
362,362_1,glalie,glalie-mega,ice,,refrigerate,,,mega,,80,120,80,120,80,100,580
363,363_0,spheal,spheal,ice,water,thick fat,ice body,oblivious,,,70,40,50,55,50,25,290
364,364_0,sealeo,sealeo,ice,water,thick fat,ice body,oblivious,,,90,60,70,75,70,45,410
365,365_0,walrein,walrein,ice,water,thick fat,ice body,oblivious,,,110,80,90,95,90,65,530
366,366_0,clamperl,clamperl,water,,shell armor,,rattled,,,35,64,85,74,55,32,345
367,367_0,huntail,huntail,water,,swift swim,,water veil,,,55,104,105,94,75,52,485
368,368_0,gorebyss,gorebyss,water,,swift swim,,hydration,,,55,84,105,114,75,52,485
369,369_0,relicanth,relicanth,water,rock,swift swim,rock head,sturdy,,,100,90,130,45,65,55,485
370,370_0,luvdisc,luvdisc,water,,swift swim,,hydration,,,43,30,55,40,65,97,330
371,371_0,bagon,bagon,dragon,,rock head,,sheer force,,,45,75,60,40,30,50,300
372,372_0,shelgon,shelgon,dragon,,rock head,,overcoat,,,65,95,100,60,50,50,420
373,373_0,salamence,salamence,dragon,flying,intimidate,,moxie,,,95,135,80,110,80,100,600
373,373_1,salamence,salamence-mega,dragon,flying,aerilate,,,mega,,95,145,130,120,90,120,700
374,374_0,beldum,beldum,steel,psychic,clear body,,light metal,,,40,55,80,35,60,30,300
375,375_0,metang,metang,steel,psychic,clear body,,light metal,,,60,75,100,55,80,50,420
376,376_0,metagross,metagross,steel,psychic,clear body,,light metal,,,80,135,130,95,90,70,600
376,376_1,metagross,metagross-mega,steel,psychic,tough claws,,,mega,,80,145,150,105,110,110,700
377,377_0,regirock,regirock,rock,,clear body,,sturdy,,,80,100,200,50,100,50,580
378,378_0,regice,regice,ice,,clear body,,ice body,,,80,50,100,100,200,50,580
379,379_0,registeel,registeel,steel,,clear body,,light metal,,,80,75,150,75,150,50,580
380,380_0,latias,latias,dragon,psychic,levitate,,,,,80,80,90,110,130,110,600
380,380_1,latias,latias-mega,dragon,psychic,levitate,,,mega,,80,100,120,140,150,110,700
381,381_0,latios,latios,dragon,psychic,levitate,,,,,80,90,80,130,110,110,600
381,381_1,latios,latios-mega,dragon,psychic,levitate,,,mega,,80,130,100,160,120,110,700
382,382_0,kyogre,kyogre,water,,drizzle,,,,,100,100,90,150,140,90,670
382,382_1,kyogre,kyogre-primal,water,,primordial sea,,,,,100,150,90,180,160,90,770
383,383_0,groudon,groudon,ground,,drought,,,,,100,150,140,100,90,90,670
383,383_1,groudon,groudon-primal,ground,fire,desolate land,,,,,100,180,160,150,90,90,770
384,384_0,rayquaza,rayquaza,dragon,flying,air lock,,,,,105,150,90,150,90,95,680
384,384_1,rayquaza,rayquaza-mega,dragon,flying,delta stream,,,mega,,105,180,100,180,100,115,780
385,385_0,jirachi,jirachi,steel,psychic,serene grace,,,,,100,100,100,100,100,100,600
386,386_0,deoxys,deoxys,psychic,,pressure,,,,,50,150,50,150,50,150,600
386,386_1,deoxys,deoxys-attack,psychic,,pressure,,,,,50,180,20,180,20,150,600
386,386_2,deoxys,deoxys-defense,psychic,,pressure,,,,,50,70,160,70,160,90,600
386,386_3,deoxys,deoxys-speed,psychic,,pressure,,,,,50,95,90,95,90,180,600
387,387_0,turtwig,turtwig,grass,,overgrow,,shell armor,,,55,68,64,45,55,31,318
388,388_0,grotle,grotle,grass,,overgrow,,shell armor,,,75,89,85,55,65,36,405
389,389_0,torterra,torterra,grass,ground,overgrow,,shell armor,,,95,109,105,75,85,56,525
390,390_0,chimchar,chimchar,fire,,blaze,,iron fist,,,44,58,44,58,44,61,309
391,391_0,monferno,monferno,fire,fighting,blaze,,iron fist,,,64,78,52,78,52,81,405
392,392_0,infernape,infernape,fire,fighting,blaze,,iron fist,,,76,104,71,104,71,108,534
393,393_0,piplup,piplup,water,,torrent,,defiant,,,53,51,53,61,56,40,314
394,394_0,prinplup,prinplup,water,,torrent,,defiant,,,64,66,68,81,76,50,405
395,395_0,empoleon,empoleon,water,steel,torrent,,defiant,,,84,86,88,111,101,60,530
396,396_0,starly,starly,normal,flying,keen eye,,reckless,,,40,55,30,30,30,60,245
397,397_0,staravia,staravia,normal,flying,intimidate,,reckless,,,55,75,50,40,40,80,340
398,398_0,staraptor,staraptor,normal,flying,intimidate,,reckless,,,85,120,70,50,60,100,485
399,399_0,bidoof,bidoof,normal,,simple,unaware,moody,,,59,45,40,35,40,31,250
400,400_0,bibarel,bibarel,normal,water,simple,unaware,moody,,,79,85,60,55,60,71,410
401,401_0,kricketot,kricketot,bug,,shed skin,,run away,,,37,25,41,25,41,25,194
402,402_0,kricketune,kricketune,bug,,swarm,,technician,,,77,85,51,55,51,65,384
403,403_0,shinx,shinx,electric,,rivalry,intimidate,guts,,,45,65,34,40,34,45,263
404,404_0,luxio,luxio,electric,,rivalry,intimidate,guts,,,60,85,49,60,49,60,363
405,405_0,luxray,luxray,electric,,rivalry,intimidate,guts,,,80,120,79,95,79,70,523
406,406_0,budew,budew,grass,poison,natural cure,poison point,leaf guard,,,40,30,35,50,70,55,280
407,407_0,roserade,roserade,grass,poison,natural cure,poison point,technician,,,60,70,65,125,105,90,515
408,408_0,cranidos,cranidos,rock,,mold breaker,,sheer force,,,67,125,40,30,30,58,350
409,409_0,rampardos,rampardos,rock,,mold breaker,,sheer force,,,97,165,60,65,50,58,495
410,410_0,shieldon,shieldon,rock,steel,sturdy,,soundproof,,,30,42,118,42,88,30,350
411,411_0,bastiodon,bastiodon,rock,steel,sturdy,,soundproof,,,60,52,168,47,138,30,495
412,412_0,burmy,burmy,bug,,shed skin,,overcoat,,,40,29,45,29,45,36,224
412,412_1,burmy,burmy-sandy,bug,,shed skin,,overcoat,,,40,29,45,29,45,36,224
412,412_2,burmy,burmy-trash,bug,,shed skin,,overcoat,,,40,29,45,29,45,36,224
413,413_0,wormadam,wormadam,bug,grass,anticipation,,overcoat,,,60,59,85,79,105,36,424
413,413_1,wormadam,wormadam-sandy,bug,ground,anticipation,,overcoat,,,60,79,105,59,85,36,424
413,413_2,wormadam,wormadam-trash,bug,steel,anticipation,,overcoat,,,60,69,95,69,95,36,424
414,414_0,mothim,mothim,bug,flying,swarm,,tinted lens,,,70,94,50,94,50,66,424
415,415_0,combee,combee,bug,flying,honey gather,,hustle,,,30,30,42,30,42,70,244
416,416_0,vespiquen,vespiquen,bug,flying,pressure,,unnerve,,,70,80,102,80,102,40,474
417,417_0,pachirisu,pachirisu,electric,,run away,pickup,volt absorb,,,60,45,70,45,90,95,405
418,418_0,buizel,buizel,water,,swift swim,,water veil,,,55,65,35,60,30,85,330
419,419_0,floatzel,floatzel,water,,swift swim,,water veil,,,85,105,55,85,50,115,495
420,420_0,cherubi,cherubi,grass,,chlorophyll,,,,,45,35,45,62,53,35,275
421,421_0,cherrim,cherrim,grass,,flower gift,,,,,70,60,70,87,78,85,450
422,422_0,shellos,shellos,water,,sticky hold,storm drain,sand force,,,76,48,48,57,62,34,325
423,423_0,gastrodon,gastrodon,water,ground,sticky hold,storm drain,sand force,,,111,83,68,92,82,39,475
424,424_0,ambipom,ambipom,normal,,technician,pickup,skill link,,,75,100,66,60,66,115,482
425,425_0,drifloon,drifloon,ghost,flying,aftermath,unburden,flare boost,,,90,50,34,60,44,70,348
426,426_0,drifblim,drifblim,ghost,flying,aftermath,unburden,flare boost,,,150,80,44,90,54,80,498
427,427_0,buneary,buneary,normal,,run away,klutz,limber,,,55,66,44,44,56,85,350
428,428_0,lopunny,lopunny,normal,,cute charm,klutz,limber,,,65,76,84,54,96,105,480
428,428_1,lopunny,lopunny-mega,normal,fighting,scrappy,,,mega,,65,136,94,54,96,135,580
429,429_0,mismagius,mismagius,ghost,,levitate,,,,,60,60,60,105,105,105,495
430,430_0,honchkrow,honchkrow,dark,flying,insomnia,super luck,moxie,,,100,125,52,105,52,71,505
431,431_0,glameow,glameow,normal,,limber,own tempo,keen eye,,,49,55,42,42,37,85,310
432,432_0,purugly,purugly,normal,,thick fat,own tempo,defiant,,,71,82,64,64,59,112,452
433,433_0,chingling,chingling,psychic,,levitate,,,,,45,30,50,65,50,45,285
434,434_0,stunky,stunky,poison,dark,stench,aftermath,keen eye,,,63,63,47,41,41,74,329
435,435_0,skuntank,skuntank,poison,dark,stench,aftermath,keen eye,,,103,93,67,71,61,84,479
436,436_0,bronzor,bronzor,steel,psychic,levitate,heatproof,heavy metal,,,57,24,86,24,86,23,300
437,437_0,bronzong,bronzong,steel,psychic,levitate,heatproof,heavy metal,,,67,89,116,79,116,33,500
438,438_0,bonsly,bonsly,rock,,sturdy,rock head,rattled,,,50,80,95,10,45,10,290
439,439_0,mimejr.,mimejr.,psychic,fairy,soundproof,filter,technician,,,20,25,45,70,90,60,310
440,440_0,happiny,happiny,normal,,natural cure,serene grace,friend guard,,,100,5,5,15,65,30,220
441,441_0,chatot,chatot,normal,flying,keen eye,tangled feet,big pecks,,,76,65,45,92,42,91,411
442,442_0,spiritomb,spiritomb,ghost,dark,pressure,,infiltrator,,,50,92,108,92,108,35,485
443,443_0,gible,gible,dragon,ground,sand veil,,rough skin,,,58,70,45,40,45,42,300
444,444_0,gabite,gabite,dragon,ground,sand veil,,rough skin,,,68,90,65,50,55,82,410
445,445_0,garchomp,garchomp,dragon,ground,sand veil,,rough skin,,,108,130,95,80,85,102,600
445,445_1,garchomp,garchomp-mega,dragon,ground,sand force,,,mega,,108,170,115,120,95,92,700
446,446_0,munchlax,munchlax,normal,,pickup,thick fat,gluttony,,,135,85,40,40,85,5,390
447,447_0,riolu,riolu,fighting,,steadfast,inner focus,prankster,,,40,70,40,35,40,60,285
448,448_0,lucario,lucario,fighting,steel,steadfast,inner focus,justified,,,70,110,70,115,70,90,525
448,448_1,lucario,lucario-mega,fighting,steel,adaptability,,,mega,,70,145,88,140,70,112,625
449,449_0,hippopotas,hippopotas,ground,,sand stream,,sand force,,,68,72,78,38,42,32,330
450,450_0,hippowdon,hippowdon,ground,,sand stream,,sand force,,,108,112,118,68,72,47,525
451,451_0,skorupi,skorupi,poison,bug,battle armor,sniper,keen eye,,,40,50,90,30,55,65,330
452,452_0,drapion,drapion,poison,dark,battle armor,sniper,keen eye,,,70,90,110,60,75,95,500
453,453_0,croagunk,croagunk,poison,fighting,anticipation,dry skin,poison touch,,,48,61,40,61,40,50,300
454,454_0,toxicroak,toxicroak,poison,fighting,anticipation,dry skin,poison touch,,,83,106,65,86,65,85,490
455,455_0,carnivine,carnivine,grass,,levitate,,,,,74,100,72,90,72,46,454
456,456_0,finneon,finneon,water,,swift swim,storm drain,water veil,,,49,49,56,49,61,66,330
457,457_0,lumineon,lumineon,water,,swift swim,storm drain,water veil,,,69,69,76,69,86,91,460
458,458_0,mantyke,mantyke,water,flying,swift swim,water absorb,water veil,,,45,20,50,60,120,50,345
